n,m,d,Z_reduction,X_and_Y_have_different_distribution,average_percentage_change,max_change,min_change
100,100,40,0.37,True,0.0,0.0,0.0
100,100,40,0.5,False,15.47779571311216,44.776119402985074,2.448979591836737
100,100,40,0.5,True,0.0,0.0,0.0
100,100,40,0.6,False,9.537999930768587,32.835820895522374,1.2244897959183685
100,100,40,0.6,True,0.0,0.0,0.0
100,100,40,0.75,False,12.987107322416342,32.835820895522374,0.40816326530612285
100,100,40,0.75,True,0.0,0.0,0.0
100,100,40,1.0,False,0.0,0.0,0.0
100,100,40,1.0,True,0.0,0.0,0.0
300,300,10,0.01,False,57.76388036072767,158.95953757225436,16.85082872928177
300,300,10,0.01,True,0.0,0.0,0.0
300,300,10,0.05,False,27.695218613372656,56.390977443609025,10.4225352112676
300,300,10,0.05,True,0.0,0.0,0.0
300,300,10,0.1,False,15.978816099943828,30.827067669172937,5.352112676056327
300,300,10,0.1,True,0.0,0.0,0.0
300,300,10,0.25,False,21.591508781877224,42.85714285714286,1.9718309859154948
300,300,10,0.25,True,0.0,0.0,0.0
300,300,10,0.37,False,7.086693634401449,12.716763005780344,2.8169014084507067
300,300,10,0.37,True,0.0,0.0,0.0
300,300,10,0.5,False,5.702389324644339,7.518796992481209,4.143646408839783
300,300,10,0.5,True,0.0,0.0,0.0
300,300,10,0.6,False,7.511446355472162,18.497109826589597,2.8169014084507067
300,300,10,0.6,True,0.0,0.0,0.0
300,300,10,0.75,False,3.9083018483302734,6.9060773480663045,0.7518796992481209
300,300,10,0.75,True,0.0,0.0,0.0
300,300,10,1.0,False,0.0,0.0,0.0
300,300,10,1.0,True,0.0,0.0,0.0
300,300,40,0.01,False,55.540198493598126,84.23645320197043,30.27718550106609
300,300,40,0.01,True,0.0,0.0,0.0
300,300,40,0.05,False,22.842848893557743,62.5615763546798,5.543710021321966
300,300,40,0.05,True,0.0,0.0,0.0
300,300,40,0.1,False,11.130768133941327,23.645320197044338,1.7057569296375283
300,300,40,0.1,True,0.0,0.0,0.0
300,300,40,0.25,False,14.75396232487221,25.123152709359616,5.964912280701741
300,300,40,0.25,True,0.0,0.0,0.0
300,300,40,0.37,False,8.118518044887349,12.315270935960601,4.264392324093809
300,300,40,0.37,True,0.0,0.0,0.0
300,300,40,0.5,False,6.6646866479574,12.616822429906541,3.4482758620689684
300,300,40,0.5,True,0.0,0.0,0.0
300,300,40,0.6,False,5.9691550703011345,10.83743842364533,2.9850746268656625
300,300,40,0.6,True,0.0,0.0,0.0
300,300,40,0.75,False,2.7547146891861534,3.448275862068954,1.4925373134328255
300,300,40,0.75,True,0.0,0.0,0.0
300,300,40,1.0,False,0.0,0.0,0.0
300,300,40,1.0,True,0.0,0.0,0.0
500,500,10,0.01,False,108.89618095076646,282.35294117647055,5.187319884726214
500,500,10,0.01,True,0.0,0.0,0.0
500,500,10,0.05,False,29.675429249509605,64.28571428571428,11.764705882352951
500,500,10,0.05,True,0.0,0.0,0.0
500,500,10,0.1,False,15.15692732424382,28.57142857142856,7.204610951008653
500,500,10,0.1,True,0.0,0.0,0.0
500,500,10,0.25,False,21.207589664107722,42.857142857142854,9.221902017291075
500,500,10,0.25,True,0.0,0.0,0.0
500,500,10,0.37,False,22.58130918073281,85.7142857142857,0.0
500,500,10,0.37,True,0.0,0.0,0.0
500,500,10,0.5,False,20.837369529944542,47.058823529411775,0.2881844380403461
500,500,10,0.5,True,0.0,0.0,0.0
500,500,10,0.6,False,20.582786428692508,58.82352941176471,4.610951008645522
500,500,10,0.6,True,0.0,0.0,0.0
500,500,10,0.75,False,8.75753759717143,28.57142857142857,0.2881844380403461
500,500,10,0.75,True,0.0,0.0,0.0
500,500,10,1.0,False,0.0,0.0,0.0
500,500,10,1.0,True,0.0,0.0,0.0
500,500,40,0.01,False,94.09605619498984,115.99999999999999,44.312796208530806
500,500,40,0.01,True,0.0,0.0,0.0
500,500,40,0.05,False,13.8662265854209,23.214285714285722,2.3696682464455
500,500,40,0.05,True,0.0,0.0,0.0
500,500,40,0.1,False,8.565250507786049,10.189573459715636,7.999999999999995
500,500,40,0.1,True,0.0,0.0,0.0
500,500,40,0.25,False,26.326722711201377,34.82142857142856,1.7777777777777792
500,500,40,0.25,True,0.0,0.0,0.0
500,500,40,0.37,False,37.174170616113734,62.499999999999986,0.0
500,500,40,0.37,True,0.0,0.0,0.0
500,500,40,0.5,False,8.125733468742947,29.383886255924168,0.8928571428571437
500,500,40,0.5,True,0.0,0.0,0.0
500,500,40,0.6,False,15.188849394418115,18.750000000000004,10.222222222222218
500,500,40,0.6,True,0.0,0.0,0.0
500,500,40,0.75,False,9.842153765139546,12.499999999999998,5.924170616113736
500,500,40,0.75,True,0.0,0.0,0.0
500,500,40,1.0,False,0.0,0.0,0.0
500,500,40,1.0,True,0.0,0.0,0.0
750,750,10,0.01,False,130.589733275574,240.3846153846154,15.044247787610615
750,750,10,0.01,True,0.0,0.0,0.0
750,750,10,0.05,False,22.883439569280274,34.181818181818166,15.044247787610631
750,750,10,0.05,True,0.0,0.0,0.0
750,750,10,0.1,False,3.869711409534422,5.604719764011804,2.181818181818184
750,750,10,0.1,True,0.0,0.0,0.0
750,750,10,0.25,False,21.11572498298161,38.46153846153846,3.5398230088495444
750,750,10,0.25,True,0.0,0.0,0.0
750,750,10,0.37,False,4.924995358623665,7.692307692307685,1.7699115044247637
