expr,min,lq,mean,median,uq,max,neval,name,variance,sd,dist_type,n,m,d
result,2781.886596,2794.679733,2904.2196106,2880.7965135,2961.88746,3228.610767,10,rank_distance_upgraded,18103.9061745019,134.550756870788,Poisson,500,300,100
result,8075.308093,8108.337618,8156.5592846,8124.527665,8132.183422,8412.339093,10,rank_distance_original,10078.5621027099,100.392042028788,t-Student,500,300,100
result,2717.511679,2775.928442,2805.9235141,2798.552679,2848.541209,2901.155477,10,rank_distance_upgraded,2674.64181305207,51.7169393240944,t-Student,500,300,100
result,7980.952693,8080.708173,8151.4589995,8176.657172,8189.221071,8326.930368,10,rank_distance_original,8825.24909105373,93.9427969088303,mieszany,500,300,100
result,2741.173102,2773.895536,2808.7452941,2812.0664315,2834.732834,2882.843584,10,rank_distance_upgraded,1979.64537976054,44.4932059955286,mieszany,500,300,100
result,7898.660971,7931.045775,8013.9945672,7988.5770045,8069.274415,8204.881521,10,rank_distance_original,10989.5769968254,104.831183322642,jednostajny,500,300,20
result,2596.02531,2612.079996,2642.1467111,2618.494778,2686.107289,2744.537952,10,rank_distance_upgraded,2386.73390695379,48.8542107392371,jednostajny,500,300,20
result,7841.369917,7912.917307,7971.4198517,7945.781758,8016.180877,8167.789588,10,rank_distance_original,9538.93820751575,97.6674879758651,normalny,500,300,20
result,2577.976203,2592.536431,2618.9129099,2610.5578785,2645.07645,2674.636807,10,rank_distance_upgraded,964.763444860588,31.0606414109655,normalny,500,300,20
result,7771.042618,7802.978765,7864.8338313,7877.9256035,7897.385875,7960.513647,10,rank_distance_original,3480.55220604295,58.9962050139071,gamma,500,300,20
result,2539.929431,2589.405441,2630.4955075,2609.956952,2680.806054,2755.659865,10,rank_distance_upgraded,4072.68797779004,63.8176149490879,gamma,500,300,20
result,7803.123542,7880.811693,7922.9734277,7923.964533,7986.472358,7997.594411,10,rank_distance_original,4884.57723943305,69.8897506035975,Poisson,500,300,20
result,2567.450495,2594.330022,2637.7814191,2659.0305015,2679.408864,2695.335554,10,rank_distance_upgraded,2340.78131306112,48.3816216456324,Poisson,500,300,20
result,7831.823711,7886.879701,7940.259764,7911.1587205,8008.965084,8109.008561,10,rank_distance_original,7566.61488902465,86.9862913856238,t-Student,500,300,20
